county_name,state_code,district_code
Escambia,FL,FLN
Esmeralda,NV,NVX
Essex,MA,MAX
Essex,NJ,NJX
Essex,NY,NYN
Essex,VA,VAE
Essex,VT,VTX
Estill,KY,KYE
Etowah,AL,ALN
Eureka,NV,NVX
Evangeline,LA,LAW
Evans,GA,GAS
"Fairbanks North Star",AK,AKX
Fairfax,VA,VAE
"Fairfax City",VA,VAE
Fairfield,CT,CTX
Fairfield,OH,OHS
Fairfield,SC,SCX
"Fall River",SD,SDX
Fallon,MT,MTX
Falls,TX,TXW
"Falls Church City",VA,VAE
Fannin,GA,GAN
Fannin,TX,TXE
Faribault,MN,MNX
Faulk,SD,SDX
Faulkner,AR,ARE
Fauquier,VA,VAE
Fayette,AL,ALN
Fayette,GA,GAN
Fayette,IA,IAN
Fayette,IL,ILS
Fayette,IN,INS
Fayette,KY,KYE
Fayette,OH,OHS
Fayette,PA,PAW
Fayette,TN,TNW
Fayette,TX,TXS
Fayette,WV,WVS
Fentress,TN,TNM
Fergus,MT,MTX
Ferry,WA,WAE
Fillmore,MN,MNX
Fillmore,NE,NEX
Finney,KS,KSX
Fisher,TX,TXN
Flagler,FL,FLM
Flathead,MT,MTX
Fleming,KY,KYE
Florence,SC,SCX
Florence,WI,WIE
Floyd,GA,GAN
Floyd,IA,IAN
Floyd,IN,INS
Floyd,KY,KYE
Floyd,TX,TXN
Floyd,VA,VAW
Fluvanna,VA,VAW
Foard,TX,TXN
"Fond du Lac",WI,WIE
Ford,IL,ILC
Ford,KS,KSX
Forest,PA,PAW
Forest,WI,WIE
Forrest,MS,MSS
Forsyth,GA,GAN
Forsyth,NC,NCM
"Fort Bend",TX,TXS
Foster,ND,NDX
Fountain,IN,INS
Franklin,AL,ALN
Franklin,AR,ARW
Franklin,FL,FLN
Franklin,GA,GAM
Franklin,IA,IAN
Franklin,ID,IDX
Franklin,IL,ILS
Franklin,IN,INS
Franklin,KS,KSX
Franklin,KY,KYE
Franklin,LA,LAW
Franklin,MA,MAX
Franklin,ME,MEX
Franklin,MO,MOE
Franklin,MS,MSS
Franklin,NC,NCE
Franklin,NE,NEX
Franklin,NY,NYN
Franklin,OH,OHS
Franklin,PA,PAM
Franklin,TN,TNE
Franklin,TX,TXE
Franklin,VA,VAW
Franklin,VT,VTX
Franklin,WA,WAE
"Franklin City",VA,VAE
Frederick,MD,MDX
Frederick,VA,VAW
"Fredericksburg City",VA,VAE
Freeborn,MN,MNX
Freestone,TX,TXW
Fremont,CO,COX
Fremont,IA,IAS
Fremont,ID,IDX
Fremont,WY,WYX
Fresno,CA,CAE
Frio,TX,TXW
Frontier,NE,NEX
Fulton,AR,ARE
Fulton,GA,GAN
Fulton,IL,ILC
Fulton,IN,INN
Fulton,KY,KYW
Fulton,NY,NYN
Fulton,OH,OHN
Fulton,PA,PAM
Furnas,NE,NEX
Gadsden,FL,FLN
Gage,NE,NEX
Gaines,TX,TXN
"Galax City",VA,VAW
Gallatin,IL,ILS
Gallatin,KY,KYE
Gallatin,MT,MTX
Gallia,OH,OHS
Galveston,TX,TXS
Garden,NE,NEX
Garfield,CO,COX
Garfield,MT,MTX
Garfield,NE,NEX
Garfield,OK,OKW
Garfield,UT,UTX
Garfield,WA,WAE
Garland,AR,ARW
Garrard,KY,KYE
Garrett,MD,MDX
Garvin,OK,OKW
Garza,TX,TXN
Gasconade,MO,MOE
